id,code,name,user_type_id:id,group_id:id,reconcile,chart_template_id:id
rrif_account_1000,1000,NEPOKRENUTA STEČENO SREDSTVA (zemljišta),account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1020,1020,STAVKE U IZGRADNJI (građevinski objekti),account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1060,1060,STAVKE U IZGRADNJI (oprema),account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1100,1100,AMORTIZACIJA STENVENIH SREDSTAVA - ispravak vrijednosti,account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1200,1200,STAVKE U IZGRADNJI (građevinski objekti - knjigovodstvena vrijednost),account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2000,2000,MATERIJAL - nabavna vrijednost,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2010,2010,REPRODUKCIJSKI MATERIJAL,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2110,2110,TRGOVINA NA VELIKO,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2120,2120,TRGOVINA NA MALO,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2200,2200,PROIZVODI - nabavna vrijednost,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2300,2300,UGOTOVLJENI GUBICI - isporučeni proizvodi,account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_1,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2400,2400,KUPCI - domaći,account.data_account_type_receivable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
